,Mobile_Name,Color,Brand,ROM,MRP_Price,Selling_Price,Discount
278,REDMI 14C 5G,Mint Breeze,realme,128,"32,999",27999,10
279,OPPO F29 Pro 5G,Charcoal Black,realme,128,"25,999",18999,18
280,vivo T4 Pro 5G,Blue,SAMSUNG,128,"12,499",10999,18
281,Motorola Edge 50 Fusion,Graphite,Micromax,128,"7,999",6999,12
282,MOTOROLA g35 5G,Carbon Black,Micromax,128,"36,999",28999,11
283,Ai+ Pulse,Black,Ai,64,"44,999",39027,11
284,MOTOROLA Edge 60 Pro,Sparkle Purple,Samsung,256,"44,999",39830,30
285,OnePlus 13R 5g,Beach Gold,Samsung,256,"46,999",41999,6
286,OnePlus 13R 5G,Charcoal Black,Samsung,256,"8,999",7537,13
287,realme GT 7T,Obsidian Black,vivo,512,"21,999",19499,17
288,realme C71,Racing Yellow,vivo,64,"59,999",35999,13
289,realme P4 5G,Light Green,OnePlus,128,"19,999",17999,28
290,Samsung Galaxy S24 FE 5G,Steel Grey,Samsung,128,"59,999",52841,21
291,Infinix Note 50s 5G+,Desert Gold,REDMI,128,"59,999",52898,40
292,OnePlus 15R 5G,Starry Black,REDMI,512,"59,999",35999,17
293,OnePlus 15R 5G,Carbon Black,OPPO,512,"65,999",39999,11
294,Samsung Galaxy S24 FE 5G,Steel Grey,vivo,128,"17,999",14999,39
295,Samsung Galaxy S24 FE 5G,Engine Blue,Motorola,256,"69,900",64900,39
296,POCO M7 Plus 5G,Purple,MOTOROLA,128,"10,999",8999,28
297,Apple iPhone 15,Indigo,Ai,256,"8,999",8039,8
298,REDMI A4,Pantone Dazzling Blue,MOTOROLA,64,"54,999",47690,31
299,realme Narzo 80 Lite 4G,Nitro Blue,OnePlus,64,"8,999",7980,30
300,OnePlus 15R 5G,Pantone Shadow,OnePlus,256,"42,999",37999,12
301,realme Narzo 80 Lite 4G,Nebula Green,realme,64,"30,999",21800,6
302,realme GT 7T,Pantone Sparkling Grape,realme,256,"23,999",21499,20
303,Samsung M56 5G,Mint,realme,128,"8,999",7299,31
304,realme P4 5G,Cool Blue,Samsung,256,"10,999",8999,32
305,POCO C71,Frost White,Infinix,64,"24,999",21999,32
306,REDMI A4,Blue,OnePlus,64,"21,999",19499,21
307,POCO M8,Mint,OnePlus,256,"21,999",19499,29
308,realme P4 5G,Lavender Frost,Samsung,128,"9,999",6999,27
309,realme P4 5G,Cosmic Orange,Samsung,128,"79,999",74999,20
310,Ai+ Pulse,Master Gold,POCO,128,"42,999",36999,24
311,Google Pixel 10,Ice Silver,Apple,256,"17,999",14917,26
312,MOTOROLA Edge 60 Pro,Pink,REDMI,512,"42,999",36999,27
313,realme Narzo 90x 5G,IceSense Blue,realme,128,"31,999",22999,48
314,MOTOROLA Edge 60 Pro,Blazing Black,OnePlus,512,"36,999",28999,15
315,POCO X7 Pro 5G,Stardust Purple,realme,256,"59,999",35999,17
316,MOTOROLA Edge 60 Pro,Crystal Purple,realme,256,"9,999",8299,15
317,Samsung Galaxy S24 FE 5G,Crystal Purple,Samsung,128,"35,999",31999,17
318,POCO C71,Onyx Black,realme,128,"65,999",39999,20
319,POCO F7 5G,Cyber Green,POCO,256,"65,999",39999,20
320,Samsung Galaxy S24 FE 5G,Beach Gold,REDMI,256,"18,999",13499,16
321,Samsung Galaxy S24 FE 5G,Obsidian Black,POCO,256,"34,999",31999,16
322,POCO M7 Pro 5G,Starlight Blue,realme,128,"17,999",12393,21
323,Apple iPhone 17 Pro,Starlight Blue,realme,256,"9,999",6999,51
324,realme 16 Pro 5G,Stargaze Black,Ai,128,"39,999",34999,49
325,POCO M6 Plus 5G,Stardust Purple,Google,128,"11,700",10935,42
326,Ai+ Pulse,Stardust Purple,MOTOROLA,128,"13,999",13984,43
327,realme GT 7T,Titanium Blue,realme,256,"14,999",11875,26
328,Samsung M06 5G,Obsidian Black,MOTOROLA,128,"13,999",13975,15
329,Redmi 14C 5G,Starry Black,POCO,128,"13,999",13984,17
330,Realme Narzo 80 Lite 5G,Ultramarine,MOTOROLA,128,"16,999",16975,44
331,Realme Narzo 80 Lite 5G,Titanium,Samsung,128,"8,999",8984,40
332,Realme Narzo 80 Lite 5G,Ultramarine,POCO,128,"8,999",8984,38
333,IQOO Z10 Lite 5G,Titanium,POCO,256,"14,999",10204,20
334,realme Narzo 80 Lite 4G,Awesome Navy,Samsung,64,"13,999",9463,8
335,realme Narzo 80 Lite 4G,Black Diamond,Samsung,64,"13,999",9415,4
336,Redmi 14C 5G,Orchid Pink,POCO,128,"12,999",10185,31
337,Redmi 14C 5G,MIdnight,Apple,128,"14,999",10602,32
338,Redmi 14C 5G,Yellow,realme,128,"16,999",16975,32
339,Redmi 14C 5G,Pink,POCO,64,"10,999",10984,21
340,Redmi 14C 5G,Pink,Ai,128,"11,999",11984,29
341,IQOO Z10 Lite 5G,Starlight,realme,256,"20,499",20475,15
342,realme Narzo 80 Lite 4G,Green,Samsung,128,"18,999",18975,17
343,REDMI A4,Green,Redmi,128,"18,999",18975,15
344,IQOO Z10X 5G,MIdnight,Realme,256,"20,499",20475,17
345,IQOO Z10X 5G,MIdnight,Realme,128,"45,999",45984,20
346,IQOO Z10X 5G,Stargaze Black,Realme,128,"17,999",17984,20
347,IQOO Z10X 5G,Onyx Black,IQOO,256,"17,999",17984,15
348,SAMSUNG Galaxy A55 5G,Beach Gold,realme,256,"79,900",79885,20
349,REDMI 13 5G,Hawaiian Blue,realme,128,"89,900",89885,42
350,REDMI 13 5G,Black Diamond,Redmi,128,"79,900",79885,43
351,Apple Iphone 15,Cyber Green,Redmi,128,"1,09,000",108985,24
352,Apple Iphone 15,Cyber Green,Redmi,256,"79,900",79885,16
353,Apple Iphone 15,Titanium Blue,Redmi,128,"79,900",79885,16
354,Apple Iphone 15,Titanium Blue,Redmi,512,"89,900",89885,21
355,Apple Iphone 15,Sparkle Purple,IQOO,128,"89,900",89885,27
356,Apple Iphone 15,Starry Black,realme,128,"1,09,000",108985,26
357,Apple Iphone 15,Titanium,REDMI,256,"14,999",10824,49
358,Apple Iphone 15,Ultramarine,IQOO,256,"14,999",11875,27
359,Apple Iphone 15,stellar blue/ steller blue,IQOO,512,"10,999",8284,26
360,Redmi 14C 5G,Midnight Blue,IQOO,128,"17,999",13180,48
361,Realme Narzo 80 Lite 5G,Blue,IQOO,128,"17,999",12984,17
362,realme Narzo 80 Lite 4G,Golden,SAMSUNG,128,"1,799",934,27
363,redmi 13 5G,Orchid Pink,REDMI,128,"14,999",12601,51
364,redmi 13 5G,Nebula Noir,REDMI,128,"13,999",11602,44
365,,stellar gold /steller gold,Apple,,"14,999",12601,40
366,IQOO Z10 Lite 5G,Midnight Blue,Apple,128,"13,999",11602,38
367,IQOO Z10 Lite 5G,Gold,Apple,128,"10,999",8784,20
368,IQOO Z10 Lite 5G,Speed Blue,Apple,128,"10,999",8784,8
